study_hours,attendance_rate,previous_score,final_marks
6.86,23.45,82.12,52.74
5.68,62.19,41.67,47.68
3.2,85.81,32.15,51.37
3.98,0.45,74.88,43.57
6.25,51.46,80.14,64.68
5.27,67.73,49.13,52.2
0.26,2.96,89.3,40.25
9.92,40.14,14.39,39.36
10.75,89.56,87.91,87.05
1.68,67.16,9.61,27.69
6.65,23.77,15.35,27.61
1.3,85.28,53.38,49.84
8.07,34.8,6.75,31.48
3.37,85.33,5.28,44.93
7.91,29.89,0.05,18.6
8.72,59.03,43.63,55.93
9.22,39.69,77.46,62.55
1.29,27.48,3.48,14.42
10.99,88.66,65.23,78.1
2.76,18.76,82.31,50.86
0.45,8.48,16.8,15.12
6.66,34.19,14.69,30.86
4.45,71.76,86.08,73.13
9.96,80.74,82.31,72.97
9.7,99.87,53.89,79.18
3.81,29.64,81.92,54.68
11.43,40.79,9.28,43.05
3.49,13.68,39.45,24.57
6.18,57.49,73.78,59.9
3.07,99.76,25.75,48.17
11.23,70.09,75.23,77.29
1.98,59.52,50.42,45.49
0.54,39.24,75.03,50.41
5.22,91.53,46.47,52.63
11.91,49.69,36.79,58.69
10.7,13.44,21.92,35.32
8.98,36.54,20.84,37.59
10.69,6.72,75.15,52.06
10.72,20.2,11.89,34.61
6.23,1.77,8.6,8.4
3.79,45.33,17.63,31.38
9.26,63.45,17.53,40.23
7.94,34.33,82.31,63.41
4.48,42.04,39.85,39.09
1.13,95.92,99.04,79.7
8.96,75.2,13.72,46.03
3.15,54.09,65.35,49.5
11.24,28.45,44.87,49.44
2.89,89.7,39.29,54.83
1.47,23.51,87.51,51.25
9.97,32.53,97.56,72.26
1.84,90.91,87.29,69.4
2.15,52.95,19.23,23.36
7.19,74.23,22.08,47.95
10.49,59.07,65.61,62.08
2.36,65.34,28.91,39.96
3.72,29.94,73.47,49.94
9.33,24.14,56.64,59.74
11.66,32.25,55.09,53.94
6.01,15.54,82.85,53.61
1.73,87.43,71.05,67.95
0.17,28.32,2.66,14.2
2.76,56.15,4.95,22.15
1.58,79.2,60.16,54.78
8.13,78.38,48.62,61.66
1.46,43.84,26.02,28.77
6.08,47.63,41.87,42.83
8.33,99.47,75.79,80.3
6.97,67.46,82.66,65.79
2.4,81.46,56.12,54.96
9.65,90.26,38.54,65.29
8.58,78.76,27.07,52.18
8.87,18.52,52.19,41.12
1.57,56.22,31.47,37.63
1.49,10.19,56.41,32.69
11.13,65.29,67.67,69.76
4.77,95.53,6.61,40.19
3.61,51.27,0.11,17.4
5.86,43.3,21.23,30.68
7.95,3.58,89.45,55.35
11.47,95.98,64.63,85.11
3.44,10.3,17.2,15.46
11.1,4.11,89.03,65.73
0.3,24.61,47.0,27.24
6.66,6.55,47.61,37.58
7.61,45.51,93.55,70.47
1.27,51.61,5.95,23.76
1.68,31.26,21.52,20.56
5.03,5.1,58.58,32.44
11.59,11.16,19.55,30.5
7.15,38.45,67.95,54.56
11.2,6.05,21.41,29.47
9.65,69.82,9.92,46.15
5.61,20.7,20.7,25.11
9.42,30.21,42.27,55.23
0.21,39.41,17.61,14.1
1.31,41.66,13.47,21.89
9.95,0.17,86.03,54.72
9.56,11.21,32.04,35.18
2.79,86.28,36.08,48.2
6.37,0.12,5.53,7.12
7.27,50.82,35.74,46.7
10.41,48.95,26.48,54.09
7.24,33.31,61.05,50.35
4.95,43.13,20.54,32.99
4.49,78.06,88.84,75.96
5.11,84.12,92.97,76.72
7.82,26.03,9.98,25.92
10.41,32.25,10.74,27.36
5.45,24.25,11.53,25.6
2.97,47.99,61.96,47.83
2.84,68.33,12.2,28.12
8.95,22.83,85.24,63.55
9.8,33.07,75.43,61.42
1.26,93.04,81.98,65.48
0.8,4.86,52.61,28.85
7.13,46.08,99.67,68.26
1.75,71.16,4.42,30.51
9.9,15.05,40.13,37.47
3.72,4.74,32.39,21.13
1.73,13.82,94.86,57.02
11.05,91.88,57.69,79.57
1.99,0.93,80.62,40.87
3.42,18.83,17.03,16.86
1.84,3.13,97.86,46.81
1.39,11.06,49.86,28.79
0.25,62.01,49.37,41.46
0.66,24.16,97.09,51.95
2.1,56.92,38.07,38.29
0.64,59.02,39.75,36.13
7.09,84.94,58.48,60.94
8.17,0.47,12.81,20.43
4.72,85.34,32.11,52.7
3.82,61.91,19.32,30.11
6.05,16.27,10.33,20.98
10.5,77.29,86.61,80.3
10.21,85.55,58.93,73.0
0.52,25.43,35.87,23.45
2.18,91.88,40.87,55.48
2.84,45.45,43.15,40.51
2.99,60.34,63.31,47.99
6.85,98.46,92.68,87.3
5.0,36.15,93.28,60.1
0.59,81.32,39.15,41.17
4.48,31.84,32.93,34.43
6.29,79.92,45.1,55.12
1.22,60.07,56.79,49.14
10.0,21.64,46.18,44.56
0.62,41.4,65.88,41.15
11.1,31.76,55.44,54.38
1.19,7.81,32.07,17.17
10.12,2.98,34.57,40.55
10.83,34.65,37.86,51.3
11.75,1.9,9.46,34.32
9.62,16.55,16.61,39.62
9.35,72.52,72.31,69.4
7.71,70.81,38.91,54.42
9.35,73.86,21.45,46.39
1.61,31.72,56.27,35.34
6.43,89.0,75.55,71.36
6.17,59.38,25.74,38.04
10.29,12.6,82.68,57.89
5.55,14.37,92.75,56.65
4.62,69.31,59.74,52.66
7.67,17.29,66.89,53.59
3.2,50.73,5.26,20.77
1.68,99.18,94.55,85.49
5.73,0.4,39.25,27.67
5.0,1.66,92.39,52.33
2.79,99.31,57.9,56.89
4.41,58.46,0.46,32.54
4.4,12.69,3.85,18.25
3.93,89.73,68.04,66.44
4.55,88.04,56.27,56.12
8.23,53.62,2.65,34.48
3.56,62.18,74.35,55.31
11.39,27.32,85.21,74.43
11.0,5.05,49.64,48.68
5.77,59.46,46.58,50.67
3.94,29.48,0.55,8.44
6.43,66.36,78.66,64.72
10.18,83.62,33.07,62.74
7.83,1.82,87.88,60.0
9.65,59.57,37.31,57.85
6.39,23.13,56.51,39.58
7.6,87.39,27.03,54.63
3.46,25.37,16.06,25.31
8.82,61.08,77.49,65.03
2.43,55.35,49.66,43.78
8.34,39.62,53.65,53.66
10.33,67.76,96.54,83.38
1.59,72.58,96.36,61.82
7.37,56.69,85.56,69.12
1.14,75.84,18.76,32.33
8.71,98.34,59.43,73.14
1.01,41.93,87.81,52.15
11.23,51.46,37.45,53.2
1.65,1.25,10.11,8.08
11.51,79.6,81.1,84.94
9.61,52.02,48.18,55.44
7.12,40.8,56.44,50.45
9.39,9.41,98.21,66.12
9.54,88.97,60.72,66.37
11.35,39.5,42.5,55.35
3.04,68.26,37.0,43.21
7.08,14.94,41.76,37.57
1.14,96.15,11.84,39.82
7.39,17.84,79.48,49.07
2.06,19.95,83.77,40.89
6.78,85.9,28.44,53.08
6.87,91.26,30.38,54.76
5.59,21.21,87.43,57.49
6.27,46.98,2.4,26.1
9.17,73.35,52.05,66.08
9.59,87.84,46.37,69.66
5.91,37.91,69.01,55.93
7.2,51.7,16.34,36.34
11.17,74.17,66.83,67.3
1.44,73.11,37.67,44.45
1.41,78.3,61.87,58.42
1.05,56.99,4.01,23.26
7.89,10.46,46.17,36.63
5.02,90.4,52.23,63.03
9.29,86.56,21.43,57.21
8.05,79.81,13.96,51.79
4.0,9.99,18.85,16.42
10.78,20.44,34.41,42.39
9.15,74.36,9.68,47.58
3.25,2.31,94.73,50.02
4.37,97.92,40.5,52.43
3.77,37.71,80.9,56.72
1.89,71.93,97.44,71.24
1.77,88.76,8.07,34.11
11.23,39.46,65.17,64.4
5.25,31.91,87.14,58.39
4.6,60.87,63.42,61.18
8.76,58.1,42.9,51.1
6.64,40.91,43.11,42.89
11.23,60.18,3.59,42.17
9.36,93.54,53.46,73.92
5.75,46.76,99.35,65.0
4.52,19.67,95.87,53.49
11.84,37.72,4.04,29.68
8.61,39.41,70.58,60.92
11.41,13.11,30.18,36.43
1.42,16.29,90.3,47.02
10.21,68.46,4.51,45.29
7.64,33.95,93.59,65.34
1.46,95.49,83.75,70.07
7.06,24.36,11.75,25.67
8.23,9.89,5.98,24.48
0.15,75.35,83.47,62.13
5.45,88.1,15.58,41.92
9.9,27.81,53.49,51.63
3.54,20.21,91.57,58.01
5.5,18.58,56.74,43.49
5.31,52.2,39.72,39.26
3.62,46.84,44.5,43.62
11.02,25.94,6.31,28.87
9.38,4.52,96.88,68.64
1.33,48.15,31.07,34.66
11.96,95.93,18.94,62.24
10.55,65.25,28.6,54.1
3.41,49.55,96.44,64.34
10.04,11.07,9.43,30.02
1.28,25.24,86.73,47.86
11.99,29.48,70.78,65.5
7.99,76.48,83.0,79.32
7.8,87.67,97.59,83.85
1.09,90.16,84.22,64.96
10.76,98.46,94.34,89.34
0.35,98.24,12.69,32.15
2.89,95.3,79.58,63.78
1.72,7.18,54.57,32.7
9.32,13.78,54.35,53.56
2.38,30.45,89.89,59.33
10.93,55.29,97.18,76.48
7.88,9.7,70.48,52.91
0.43,84.58,48.29,52.95
0.07,61.68,45.64,37.57
0.62,54.24,38.63,35.25
7.27,16.53,36.16,28.75
9.62,25.33,39.15,45.38
2.86,16.03,8.98,10.85
10.19,85.19,7.74,50.13
0.69,58.42,77.99,48.53
9.61,73.51,44.61,63.25
11.13,29.6,93.07,76.61
9.27,37.13,61.22,54.48
8.38,40.49,3.52,26.5
10.06,76.0,15.75,42.45
0.48,77.24,20.58,32.46
2.42,20.68,97.57,52.92
1.5,94.15,21.87,35.66
6.05,12.07,51.58,40.52
8.94,89.61,93.62,85.32
7.56,10.04,97.72,58.34
10.21,26.45,23.64,37.06
1.86,84.65,4.91,35.08
8.82,17.95,15.36,32.04
2.32,41.36,6.33,19.43
3.25,44.99,19.51,30.94
8.52,24.53,56.86,45.92
11.76,71.02,91.24,86.01
7.34,85.13,53.72,64.91
0.65,87.46,62.6,54.07
7.4,33.93,20.19,35.58
0.51,53.09,80.06,50.24
10.61,24.84,61.78,58.26
8.51,24.48,86.41,65.19
2.08,16.13,94.88,41.48
1.1,94.0,34.79,50.22
2.2,88.8,9.06,24.45
11.76,77.74,22.59,54.85
5.5,51.77,43.78,49.83
9.41,49.06,94.57,74.98
7.64,52.97,37.83,43.06
6.87,53.66,77.08,60.69
1.74,43.46,54.05,44.44
11.35,13.18,18.28,28.16
3.62,12.57,32.07,29.39
6.94,95.22,65.32,71.64
8.4,48.2,67.29,57.36
7.79,95.32,43.48,61.7
11.29,16.36,22.86,34.21
1.78,55.44,72.19,55.71
6.1,20.77,16.89,28.59
4.85,25.32,93.67,53.43
5.69,3.01,18.79,19.32
1.43,11.9,10.73,8.24
1.61,91.68,49.76,57.65
3.34,32.15,51.95,34.97
3.66,60.81,50.82,54.04
5.13,46.5,43.67,43.75
7.33,40.05,99.48,67.38
7.62,53.19,48.63,50.7
4.94,18.72,47.79,34.2
4.91,98.86,42.18,53.99
2.61,81.83,6.68,33.11
7.06,74.16,59.3,58.75
3.8,46.88,22.8,24.3
0.43,15.29,63.76,32.82
5.02,92.07,5.08,33.64
5.69,34.14,98.14,63.15
2.71,5.01,46.9,24.84
6.87,34.24,89.68,61.32
6.79,79.45,47.56,65.82
8.42,62.27,6.03,38.44
7.78,75.08,82.22,75.93
7.83,79.36,64.82,62.42
3.79,21.2,78.18,46.84
9.45,92.38,42.82,66.63
6.59,43.8,63.79,51.44
5.18,63.9,85.62,71.23
7.51,0.23,63.11,39.28
4.33,99.34,34.77,53.1
6.15,28.09,66.25,48.5
